id,label,value,low,high,unit,tier,source,anchor,url,as_of,caveat,used_in
buyback_value_decrease_2023_eur_m,Decrease in value booked on assets sold with a buy-back commitment - 2023,82,,,EUR m,SOURCED,"Stellantis Form 20-F FY2025, cost of revenues (same sentence)",,https://www.sec.gov/Archives/edgar/data/1605484/000160548426000021/stellantis-20251231.htm,FY2023,See buyback_value_decrease_2025_eur_m.,Context
buyback_assets_eur_m,Assets sold with a buy-back commitment,3616,,,EUR m,SOURCED,Stellantis Form 20-F FY2025 consolidated balance sheet,,https://www.sec.gov/Archives/edgar/data/1605484/000160548426000021/stellantis-20251231.htm,2025-12-31,Asset side of the same arrangements; 1938m in 2024. Shown for scale only to avoid double counting.,Context
rv_review_months,Frequency of residual-value review today,3,,,months,SOURCED,"Stellantis Form 20-F FY2025: ""Expected residual values are analyzed quarterly and depreciation rates are adjusted accordingly""",,https://www.sec.gov/Archives/edgar/data/1605484/000160548426000021/stellantis-20251231.htm,FY2025,The group's stated practice. Our recommendation is monthly.,Leak 3
rv_method_today,Residual values use third-party estimates plus in-house modelling,,,,text,SOURCED,"Stellantis Form 20-F FY2025: ""Third party estimates are utilized in conjunction with proprietary modelling""",,https://www.sec.gov/Archives/edgar/data/1605484/000160548426000021/stellantis-20251231.htm,FY2025,Answers the build-vs-buy question: they already buy; the gap is their own discount and launch plans.,Context
lev_residual_uncertainty,Electrified residuals are harder because resale history is thin,,,,text,SOURCED,"Stellantis Form 20-F FY2025: ""Residual values for LEVs are subject to greater uncertainty than for ICE vehicles, due to limited historical resale data""",,https://www.sec.gov/Archives/edgar/data/1605484/000160548426000021/stellantis-20251231.htm,FY2025,The group's own words for the thin-slice problem our pooling result addresses.,Leak 3
incentive_not_disclosed,Total sales incentive spend is not disclosed,,,,text,SOURCED,"Stellantis Form 20-F FY2025: sales incentives are a critical estimate; ""estimated incentive rates are reviewed monthly""",,https://www.sec.gov/Archives/edgar/data/1605484/000160548426000021/stellantis-20251231.htm,FY2025,This is why every Leak 1 figure below is an assumption rather than a sourced number.,Leak 1
ons_uk_index_move,UK second-hand car index move 2018-01 to 2022-10,26.6,,,%,SOURCED,ONS CPI 07.1.1B second-hand cars (series D7E9) via data/reference/price_indices.parquet,,https://www.ons.gov.uk/economy/inflationandpriceindices,2022-10,Independent measure of the UK level move behind the Corsa example.,Leak 3
dealer_passthrough_low,Share of a dealer discount that reaches the buyer,30,30,40,%,SOURCED,"Busse, Silva-Risso & Zettelmeyer, $1,000 Cash Back, American Economic Review 2006",,https://www.aeaweb.org/articles?id=10.1257/aer.96.4.1253,2006,US data. Customer rebates pass through at 70-90%; dealer discounts at 30-40%.,Leak 1
dep_pooled,Depreciation per year of age,-9.2,-10.0,-7.9,%,MEASURED,analysis/drivers_report.md pooled effects table,one more year of age >> effect on price,,2026-09-17,"16 datasets, 2,617,260 cars. Random-effects pooled; the single pooled model says -10.7%. Age alone, with mileage held fixed: a lease-age car also being driven loses about 12% a year (drivers_report.md).",Leak 2;Leak 3
dep_with_mileage_3y,"Yearly value loss at 3 years old, age plus a typical year's mileage",-12,,,%,MEASURED,analysis/drivers_report.md,A car that is also being driven loses more,,2026-09-17,Pooled age effect plus the pooled mileage effect for the extra mileage a steadily driven car adds between 3 and 4 years old.,Context
dep_market_min,Fastest depreciation of any market measured,-13.3,,,%,MEASURED,analysis/drivers_report.md per-dataset spread (dvm),**one more year of age:**,,2026-09-17,The rate is real everywhere but its size is local.,Leak 3
dep_market_max,Slowest depreciation of any market measured,-4.9,,,%,MEASURED,analysis/drivers_report.md per-dataset spread (eg_hatla2ee),**one more year of age:**,,2026-09-17,Egypt; a market unlike the group's European ones.,Leak 3
dep_uk,UK depreciation per year of age,-10.4,,,%,MEASURED,analysis/drivers_report.md per-dataset (uk_2022_10),uk_2022_10 >> own estimate,,2026-09-17,Advert prices.,Leak 2
dep_stability_lo,Slowest monthly estimate of the rate over 52 months,-13.2,,,%,MEASURED,analysis/latvia_time_report.md,in every one of the 52 months,,2026-09-17,"Latvia, one market. The rate never left this band through the 2021-22 shortage.",Leak 3
dep_stability_hi,Fastest monthly estimate of the rate over 52 months,-11.7,,,%,MEASURED,analysis/latvia_time_report.md,in every one of the 52 months,,2026-09-17,"Latvia, one market. Standard deviation 0.38 points.",Leak 3
latvia_index_corr,Correlation of our Latvian price index with Eurostat's,0.958,,,r,MEASURED,analysis/latvia_time_report.md,The two series correlate at,,2026-09-17,"Correlation of index levels, which two rising series share whatever they measure. As changes: 12-month moves agree (0.90), month-on-month moves do not (-0.03). Disagrees on size (+42% vs +8.8%).",Context
retained_3y_pooled,Value retained at 3 years at the pooled rate,75.0,,,% of list,MEASURED,analysis/level_risk_report.md (derived from dep_pooled),is the reference point,,2026-09-17,Arithmetic on the pooled rate; the denominator for turning points of list price into a share of residual value.,Leak 3
retained_3y_uk,Value retained at 3 years - UK (2018 adverts),66,,,% of list,MEASURED,analysis/value_retained_report.md,UK 2018 >> 3y,,2026-09-17,"DVM adverts, mostly 2018, before the shortage. The UK's October 2022 scrape gives 90% (retained_3y_uk_2022); pooling the two blends eras. Entry-trim new price flatters the share.",Leak 2
retained_3y_uk_2022,Value retained at 3 years - UK (October 2022 adverts),90,,,% of list,MEASURED,analysis/value_retained_report.md,UK Oct 2022 >> 3y,,2026-09-17,"Shortage peak, and a different scrape from the 2018 row, so the +24-point gap mixes a market move with a source difference.",Context
retained_3y_nl,Value retained at 3 years - Netherlands,62,,,% of list,MEASURED,analysis/value_retained_report.md,NL >> 3y,,2026-09-17,Deflated by BPM registration tax in the list price. Not comparable in level with the others.,Context
retained_3y_us,Value retained at 3 years - US,68,,,% of list,MEASURED,analysis/value_retained_report.md,US >> 3y,,2026-09-17,US data. Sample of 690 cars.,Context
retained_1y_uk,Value retained at 1 year - UK (2018 adverts),91,,,% of list,MEASURED,analysis/value_retained_report.md,UK 2018 >> 1y,,2026-09-17,Entry-trim caveat as above.,Leak 2
retained_2y_uk,Value retained at 2 years - UK (2018 adverts),78,,,% of list,MEASURED,analysis/value_retained_report.md,UK 2018 >> 2y,,2026-09-17,Entry-trim caveat as above.,Leak 2
retained_4y_uk,Value retained at 4 years - UK (2018 adverts),59,,,% of list,MEASURED,analysis/value_retained_report.md,UK 2018 >> 4y,,2026-09-17,Entry-trim caveat as above.,Leak 2
retained_5y_uk,Value retained at 5 years - UK (2018 adverts),52,,,% of list,MEASURED,analysis/value_retained_report.md,UK 2018 >> 5y,,2026-09-17,Entry-trim caveat as above.,Leak 2
level_3y_p10,Three-year move in the used-car price level - p10,-10.0,,,%,MEASURED,analysis/level_risk_report.md pooled table,"36-month moves, all 26 EU markets >> p10",,2026-09-17,"26 EU markets, common window 2016-12 to 2025-12, each market weighted equally. Overlapping windows.",Leak 3
level_3y_p50,Three-year move in the used-car price level - median,4.2,,,%,MEASURED,analysis/level_risk_report.md pooled table,"36-month moves, all 26 EU markets >> p50",,2026-09-17,As above.,Leak 3
level_3y_p90,Three-year move in the used-car price level - p90,25.3,,,%,MEASURED,analysis/level_risk_report.md pooled table,"36-month moves, all 26 EU markets >> p90",,2026-09-17,As above.,Leak 3
level_3y_worst,Worst three-year move observed,-27.0,,,%,MEASURED,analysis/level_risk_report.md pooled table,"36-month moves, all 26 EU markets >> worst",,2026-09-17,Slovenia over this window. Used as the stress case.,Leak 3
level_3y_p10_core,Three-year move - p10 across the group's 7 largest EU markets,-7.7,,,%,MEASURED,analysis/level_risk_report.md pooled table,"36-month moves, the group's 7 largest >> p10",,2026-09-17,"FR IT DE ES PL NL PT. Narrower than the all-market figure, and the more relevant base case.",Leak 3
level_3y_worst_core,Worst three-year move across the 7 largest EU markets,-19.2,,,%,MEASURED,analysis/level_risk_report.md pooled table,"36-month moves, the group's 7 largest >> worst",,2026-09-17,Poland over this window.,Leak 3
level_1y_p10_core,One-year move in the used-car price level - p10 across the group's 7 largest EU markets,-4.5,,,%,MEASURED,analysis/level_risk_report.md pooled table,"12-month moves, the group's 7 largest >> p10",,2026-09-17,Base level shock for the per-year leak 3.,Leak 3
level_1y_p10,One-year move in the used-car price level - p10 across all 26 EU markets,-6.3,,,%,MEASURED,analysis/level_risk_report.md pooled table,"12-month moves, all 26 EU markets >> p10",,2026-09-17,Wider per-year level shock.,Leak 3
level_1y_worst,Worst one-year move observed in 26 EU markets,-14.8,,,%,MEASURED,analysis/level_risk_report.md pooled table,"12-month moves, all 26 EU markets >> worst",,2026-09-17,Per-year stress. Common window 2016-12 to 2025-12.,Leak 3
level_1m_p5,One-month drift in the level - p5,-1.3,,,%,MEASURED,analysis/level_risk_report.md review-horizon table,1 >> p5,,2026-09-17,What a monthly re-mark would leave unseen.,Leak 3
level_3m_p5,Three-month drift in the level - p5,-3.0,,,%,MEASURED,analysis/level_risk_report.md review-horizon table,3 >> p5,,2026-09-17,What the group's current quarterly review leaves unseen.,Leak 3
curve_points_known,Curve error at 3 years in a market with its own data,3.5,,,points of list,MEASURED,analysis/level_risk_report.md comparison table,"Curve, in a market with its own data >> points of list price at 3y",,2026-09-17,"Full spread, slowest to fastest. From the 52-month stability band in Latvia. One country. A wider measure than the level's p10-p90, so the 8x comparison it makes is conservative. The VaR model uses curve_p80_known instead.",Context
curve_points_unknown,Curve error at 3 years in a market or brand with no history,20.1,,,points of list,MEASURED,analysis/level_risk_report.md comparison table,"Curve, in a market with no history of its own >> points of list price at 3y",,2026-09-17,"From the 95% prediction interval for a new market (-13.1% to -5.0% a year), not the raw min-max spread, which grows with the number of datasets. Riley/Higgins/Deeks BMJ 2011;342:d549. A wider interval than the level's p10-p90; the VaR model uses curve_p80_unknown instead.",Context
curve_p80_known,Curve error at 3 years in a market with its own data - p10 to p90,2.4,,,points of list,MEASURED,analysis/level_risk_report.md comparison table,"Curve, in a market with its own data, p10 to p90 >> points of list price at 3y",,2026-09-17,"p10 to p90 of the 52 monthly refits in Latvia, so it matches the level's p10-p90. One country. The VaR model uses half of it: the distance from the centre to p10, the same one-in-ten as the level shock.",Leak 3
curve_p80_unknown,Curve error at 3 years in a market or brand with no history - 80% interval,12.6,,,points of list,MEASURED,analysis/level_risk_report.md comparison table,"Curve, in a market with no history, 80% prediction interval >> points of list price at 3y",,2026-09-17,"The 95% prediction interval narrowed to 80% with the same Student's t (14 degrees of freedom, 16 datasets), so it matches the level's p10-p90. The VaR model uses half of it, the distance from the centre to p10.",Leak 3
retained_1y_pooled,Value retained at 1 year at the pooled rate,90.8,,,% of list,MEASURED,analysis/level_risk_report.md one-year table (derived from dep_pooled),is the one-year reference point,,2026-09-17,Arithmetic on the pooled rate; the denominator for the one-year curve terms.,Leak 3
curve_1y_p80_known,Curve error at 1 year in a market with its own data - p10 to p90,1.0,,,points of list,MEASURED,analysis/level_risk_report.md one-year table,"Curve, in a market with its own data, p10 to p90 >> points of list price at 1y",,2026-09-17,"Same Latvian p10-p90 as curve_p80_known, over one year. The VaR model uses half of it.",Leak 3
curve_1y_p80_unknown,Curve error at 1 year in a market or brand with no history - 80% interval,5.1,,,points of list,MEASURED,analysis/level_risk_report.md one-year table,"Curve, in a market with no history, 80% prediction interval >> points of list price at 1y",,2026-09-17,"Same 80% interval as curve_p80_unknown, over one year. The VaR model uses half of it.",Leak 3
level_points,Level error at 3 years - p10 to p90 band,26.5,,,points of list,MEASURED,analysis/level_risk_report.md comparison table,"Level, p10 to p90 >> points of list price at 3y",,2026-09-17,"About 8x the curve error in a market the group already sells in, against the curve's full range; about 11x like for like, p10-p90 on both sides.",Context
pooling_gain_100,Error cut by borrowing other markets at 100 local cars,4.3,,,%,MEASURED,analysis/lodo_report.md sample-size table,100 >> gain from borrowing,,2026-09-17,"Measured on the within-model residual, with the local market setting its own price level. Was 14.7% before the 2026-09-17 audit removed the partly generated French data and the UK duplicate adverts.",Leak 3
pooling_gain_250,Error cut by borrowing other markets at 250 local cars,0.2,,,%,MEASURED,analysis/lodo_report.md sample-size table,250 >> gain from borrowing,,2026-09-17,The gain is gone by 250 cars. Pooling is for thin slices only.,Leak 3
sibling_penalty,Transfer penalty when another dataset covers the same market,2.7,,,%,MEASURED,analysis/lodo_report.md,share their market with another dataset in the training set,,2026-09-17,Median across the 7 datasets with a sibling.,Context
no_sibling_penalty,Transfer penalty when no dataset covers the same market,31.6,,,%,MEASURED,analysis/lodo_report.md,share their market with another dataset in the training set,,2026-09-17,"Median across the 7 datasets alone in their market, 4 of them outside Europe (Bangladesh, Egypt, Morocco, Jordan). Inside Europe the gap disappears (no_sibling_penalty_europe), so do not quote this for the group's markets.",Context
no_sibling_penalty_europe,Transfer penalty when no dataset covers the same market - European datasets only,2.0,,,%,MEASURED,analysis/lodo_report.md,Inside Europe the gap disappears,,2026-09-17,"Only 3 European datasets stand alone (+1.2% to +39.9%) and they pay no more than the +2.7% of datasets with a sibling. The 'market, not rows' result does not hold inside Europe.",Context
model_err_uk,Median error of a locally fitted model - UK,11.4,,,%,MEASURED,analysis/lodo_report.md own median err (uk_2022_10),uk_2022_10 >> own median err,,2026-09-17,Advert prices. Within make-and-model residual.,Leak 3
corsa_err_asis,Corsa - 2018 model used unchanged on 2022 cars,41.4,,,%,MEASURED,analysis/one_car_report.md,"2018 model, used as it stands >> median error",,2026-09-17,Almost all bias: it prices every car about 41% too low. Median over 500 random splits of the 2022 cars.,Leak 3
corsa_err_anchor25,Corsa - same model after re-anchoring the level on 25 current cars,11.9,,,%,MEASURED,analysis/one_car_report.md,"2018 model, level re-anchored on 25 current cars >> median error",,2026-09-17,"Every slope still from 2018. Median over 500 random draws of the 25 cars, scored on held-out cars.",Leak 3
corsa_err_refit,Corsa - model refitted from scratch on half the current cars,10.5,,,%,MEASURED,analysis/one_car_report.md,refitted from scratch on 2022 data >> median error,,2026-09-17,"The ceiling for this feature set, fitted on half the 2022 cars and scored on the other half.",Leak 3
corsa_level_share,Share of recoverable error that was level alone,96,,,%,MEASURED,analysis/one_car_report.md,of everything there was to recover,,2026-09-17,"(41.4-11.9)/(41.4-10.5), the median across 500 draws of the 25 cars; one_car_report.md gives the p10-p90 range. Refitting every slope buys the last 1.4 points.",Leak 3
corsa_retained_2018,Corsa at 4 years old - share of its list price in 2018,61,,,% of list,MEASURED,analysis/one_car_report.md,2018 >> share of its own list price,,2026-09-17,Each cohort measured against its own list price. Entry-trim caveat applies.,Leak 3
corsa_retained_2022,Corsa at 4 years old - share of its list price in October 2022,91,,,% of list,MEASURED,analysis/one_car_report.md,October 2022 >> share of its own list price,,2026-09-17,"A 30-point gap on the same car at the same age, across two different scrapes.",Leak 3
corsa_fixed_rule_err,Corsa - fixed pooled-rate rule off the new price,27.6,,,%,MEASURED,analysis/one_car_report.md,"fixed depreciation rule off the new price, pooled -9.2% a year >> median error",,2026-09-17,The rule a residual-value desk starts from. Handicapped by the entry-trim new price.,Context
engine_band_coverage,Share of held-out UK cars inside the value engine's 80% band,80,,,%,MEASURED,analysis/engine_check_report.md,Overall coverage:,,2026-09-17,"Advertised prices, one market held out, today's value only. 74-82% across age bands; lowest for cars over twelve.",Context
backtest_gap_latvia,Latvia: adverts three years later against a forecast at the pricing date's level,55,,,%,MEASURED,analysis/engine_check_report.md,The level broke the band,,2026-09-17,"Median of two windows priced in 2020 and compared in 2023. Most of the gap is the Latvian level surge; one market, one period.",Context
tesla_pre_announcement,Share of the Tesla repricing that happened before the January 2023 US list-price cut,68,,,%,MEASURED,analysis/tesla_event_report.md,of the total repricing had already happened,,2026-09-17,"US, Washington State, EVs only. Tesla had already cut prices in China (Oct 2022) and offered US year-end discounts (Dec 2022), so it is not ahead of every manufacturer move. The reason no discount-to-resale factor is quoted anywhere in this model.",Context
auction_vs_sale,Auction price against an equivalent recorded sale,7.3,5.2,9.5,%,MEASURED,analysis/price_types_report.md,A car sold at auction fetches,,2026-09-17,US only. Do not read as a channel-choice rule; the two sources sell different kinds of car.,Context
incentive_pct_revenue,Sales incentives as a share of European net revenue,8.0,5.0,12.0,%,ASSUMPTION,Our estimate. The group does not disclose a total - see incentive_not_disclosed.,,,2026-09-17,No European source found. Leak 1 is linear in this input: the one-input-at-a-time table on the Summary sheet shows the total at its low and high.,Leak 1
process_leak_pct,"Claims paid twice, wrongly or too late, as a share of incentive spend",2.0,0.5,5.0,%,ASSUMPTION,Our estimate,,,2026-09-17,"Benchmarks in circulation (2-5%) are US and unverified, so this is an assumption and not a sourced figure.",Leak 1
recoverable_share,Share of process leakage a controls layer actually recovers,30,10,50,%,ASSUMPTION,Our estimate,,,2026-09-17,Leakage that exists is not leakage you can recover. Audit recovery rates in circulation are far lower than leakage rates.,Leak 1
targeting_leak_pct,Incentives paid on sales that would have happened anyway,10,5,20,%,ASSUMPTION,Our estimate,,,2026-09-17,Only measurable with randomised holdouts; the ledger is what makes that measurable.,Leak 1
thin_share_of_book,Share of the buy-back book that is a thin slice,25,10,40,%,ASSUMPTION,Our estimate,,,2026-09-17,"New brands, new markets and electrified lines with little resale history. Directionally supported by the 20-F statement that LEVs are an increasing proportion of buy-back assets.",Leak 3
finance_penetration,Share of European sales financed or leased through the group,40,30,50,%,ASSUMPTION,Our estimate,,,2026-09-17,"No disclosed rate found. Leasys is a 50/50 joint venture and equity-accounted, so its fleet is not in the buy-back figure above.",Leak 2
upgrade_capture_uplift,Extra share of customers retained by contacting them at the right moment,3.0,1.0,6.0,percentage points,ASSUMPTION,Our estimate,,,2026-09-17,Must be proved with randomised control groups in the pilot rather than assumed at scale.,Leak 2
margin_per_repeat_sale,Contribution from one retained customer's next car,2000,1000,3500,EUR,ASSUMPTION,Our estimate,,,2026-09-17,New-car margin plus finance income over the contract; excludes service and warranty.,Leak 2
loan_deposit_pct,Deposit on a typical financed contract,15,10,25,%,ASSUMPTION,Our estimate,,,2026-09-17,Used only to locate the month when the car is worth more than the balance.,Leak 2
loan_term_months,Term of a typical financed contract,48,36,60,months,ASSUMPTION,Our estimate,,,2026-09-17,As above.,Leak 2
loan_apr,Interest rate on a typical financed contract,7.0,4.0,10.0,%,ASSUMPTION,Our estimate,,,2026-09-17,As above.,Leak 2
new_car_price,List price of the worked example car,10420,,,GBP,MEASURED,analysis/one_car_report.md - Vauxhall Corsa entry price for the 2022 cohort,October 2022 >> list price when new (£),,2026-09-17,DVM-CAR entry trim. Used only to make the upgrade-timing example concrete.,Leak 2
dep_pi_lo,Depreciation per year - low end of the 95% prediction interval,-13.1,,,%,MEASURED,analysis/drivers_report.md pooled effects table,one more year of age >> 95% prediction interval,,2026-09-17,Where the age effect would fall in a market we have not measured. Wider than the confidence interval on the mean and the right number for a new market.,Leak 3
dep_pi_hi,Depreciation per year - high end of the 95% prediction interval,-5.0,,,%,MEASURED,analysis/drivers_report.md pooled effects table,one more year of age >> 95% prediction interval,,2026-09-17,As above.,Leak 3
ev_pi_lo,Electric vs petrol - low end of the 95% prediction interval,-38.0,,,%,MEASURED,analysis/drivers_report.md pooled effects table,electric instead of petrol >> 95% prediction interval,,2026-09-17,Four datasets only. We cannot say what an electric car is worth against a petrol one in an unmeasured market - the same uncertainty Stellantis reports for electrified residuals.,Context
ev_pi_hi,Electric vs petrol - high end of the 95% prediction interval,59.9,,,%,MEASURED,analysis/drivers_report.md pooled effects table,electric instead of petrol >> 95% prediction interval,,2026-09-17,As above.,Context
er_pairs_measured,Confirmed duplicate pairs behind the entity-resolution test,276902,,,pairs,MEASURED,analysis/entity_resolution_report.md,Confirmed duplicate pairs across the five sources,,2026-09-17,"Five sources in four countries, each carrying the site's own advert id, which is hidden before matching. An advert relisted under a new id counts as two records, so this is a lower bound.",Context
er_price_drift,Copies of one record that differ on the amount,17.4,,,%,MEASURED,analysis/entity_resolution_report.md drift table,pt_standvirtual >> the money field (price),,2026-09-17,"The money field is the one most likely to move between two copies of the same record - the field a claims system would match on. Portugal, scraped weekly for eleven months. Used-car adverts, not dealer claims: this rate does not transfer to the group's systems and must not be quoted as if it did. What transfers is the failure mode.",Context
er_exact_miss,"Copies an exact match misses, where the copies drift",21.9,,,%,MEASURED,analysis/entity_resolution_report.md recall table,pt_standvirtual >> copies that differ somewhere,,2026-09-17,"The only source both scraped repeatedly over time and carrying an id, so the only one that can show drift at all. In the four single-snapshot sources a second copy is a byte-identical row and exact matching finds it. Used-car adverts, not dealer claims: this rate does not transfer to the group's systems and must not be quoted as if it did. What transfers is the failure mode.",Context
er_exact_precision,"Precision of an exact match, where the copies drift",98.7,,,%,MEASURED,analysis/entity_resolution_report.md relax table,"pt_standvirtual >> precision, exact",,2026-09-17,"Precision levels are not comparable between sources: an id under-counts relisted adverts and a thin field set over-links distinct cars. Read the movement against er_relax_precision, not the level. Used-car adverts, not dealer claims: this rate does not transfer to the group's systems and must not be quoted as if it did. What transfers is the failure mode.",Context
er_relax_recall,Recall once the rule stops matching on the fields that drift,96.7,,,%,MEASURED,analysis/entity_resolution_report.md relax table,"pt_standvirtual >> recall, relaxed",,2026-09-17,"Pair with er_relax_precision: the recall is bought at a precision that makes the rule unusable on its own. Used-car adverts, not dealer claims: this rate does not transfer to the group's systems and must not be quoted as if it did. What transfers is the failure mode.",Context
er_relax_precision,Precision once the rule stops matching on the fields that drift,20.7,,,%,MEASURED,analysis/entity_resolution_report.md relax table,"pt_standvirtual >> precision, relaxed",,2026-09-17,"The measured reason a looser exact rule is not the answer, and a scored match with a human band is. Used-car adverts, not dealer claims: this rate does not transfer to the group's systems and must not be quoted as if it did. What transfers is the failure mode.",Context
er_uk_exact_recall,Recall of an exact match in a file with no record id,7.4,,,%,MEASURED,analysis/entity_resolution_report.md UK table,exact match on every field >> recall,,2026-09-17,"Truth here is inferred, not known: identical in every field but one free-text label is treated as the same advert, so this is an upper bound on what the rule catches. These copies sat in both halves of a train/test split and flattered the value engine until the audit removed them. Used-car adverts, not dealer claims: this rate does not transfer to the group's systems and must not be quoted as if it did. What transfers is the failure mode.",Context
er_auto_link_recall,Copies caught by linking automatically above the upper threshold,80.3,,,%,MEASURED,analysis/entity_resolution_report.md two-lines table,link automatically above >> recall,,2026-09-17,"At 97.4% precision. Where the group's own lines sit depends on what each error costs it, which this data cannot say. Used-car adverts, not dealer claims: this rate does not transfer to the group's systems and must not be quoted as if it did. What transfers is the failure mode.",Context
er_review_band_recall,Copies caught once the human review band is worked,96.0,,,%,MEASURED,analysis/entity_resolution_report.md two-lines table,review down to >> recall,,2026-09-17,"Only 65.8% of the links at this line are correct, which is why it is a review line and not an automatic one. Used-car adverts, not dealer claims: this rate does not transfer to the group's systems and must not be quoted as if it did. What transfers is the failure mode.",Context
er_review_band_pairs,Pairs falling into the human review band,8344,,,pairs,MEASURED,analysis/entity_resolution_report.md two-lines table,the review band >> pairs,,2026-09-17,"The size of the queue the design implies, measured rather than assumed. One source. Used-car adverts, not dealer claims: this rate does not transfer to the group's systems and must not be quoted as if it did. What transfers is the failure mode.",Context
lv_level_spread,Latvia - how far the price level moved over 52 months,64.6,,,index points,MEASURED,analysis/latvia_time_report.md,"Price level, index points >> Spread",,2026-09-18,"One small import-driven market, and advert prices. The index is built from the same adverts the depreciation rate is fitted on, so the two move on one dataset.",Context
lv_rate_spread,Latvia - how far the depreciation rate moved over the same 52 months,1.53,,,points,MEASURED,analysis/latvia_time_report.md,"Depreciation rate, % a year >> Spread",,2026-09-18,"The rate never left this band through the 2021-22 shortage. Holds on each advert's first month only, so it is not an artefact of cars reappearing month after month.",Context
lv_level_vs_rate,Latvia - the level's spread as a multiple of the rate's,42.3,,,x,MEASURED,analysis/latvia_time_report.md,Level spread as a multiple of the rate spread >> Spread,,2026-09-18,"Index points against percentage points a year: two different units, so this is a statement about which of the two a residual-value desk should watch, not a ratio of like quantities. Quote it as an order of magnitude, never as a precise multiple.",Context
new_car_price_eur,"List price of the worked example car, in euros",11969,,,EUR,MEASURED,analysis/one_car_report.md,"Vauxhall Corsa, entry trim, four years old in October 2022 >> list price when new (EUR)",,2026-09-18,"DVM's entry trim, the cheapest version of that model year, so it flatters every share-of-list figure. Converted once at the cohort's own median rate of 0.8706 GBP per EUR; the deliverables carried 11,977, which used a rounded 0.87.",Per-car P&L
engine_err_typical,Value engine - typical error on cars it has never seen,10.5,,,%,MEASURED,analysis/engine_check_report.md,"Typical error, as built",,2026-09-18,"Advertised prices on both sides, and today's value only. Median absolute difference between the advertised price and the engine's value, taking level and scatter from cars of about the same age; over every age it is 12.2%.",Context
